"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW,BW)",,,,,,GV-Vorjahr,"196.625,88 €",,,K,BW,AN,RW,JM,,,,,,,,,,
ER,K,"Internet-Euro-Überweisung
Daimler Mobility Services GmbH
BIC:DEUTDESSXXX
IBAN:DE84600700700163214000
Datum: 14.11.17 Zeit: 14:33
UFT 0020625948 TAN 187766
2759894","75,71 €",2017-11,14.11.2017,bei Jochen,14.11.2017,"360.421,04 €",,,,,,,,,,,,,,,,
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST 2016 ","255,50 €",2017-11,,bei Jochen,14.11.2017,"360.165,54 €",,,,,,,,,,,,,,,,"0,00 €"
ER,K,"Rundfunk ARD, ZDF, DRadio
Rundfunk 10.2017 - 12.2017
Beitragsnr. 644272921 Aende","17,49 €",2017-11,,bei Jochen,15.11.2017,"360.148,05 €",,,,,,,,,,,,,,,,
LNSteuer,BW,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 LOHN
ST OKT.17 1.511,45EUR UMS.S
T SEP.17 ","1.511,45 €",2017-11,,bei Jochen,15.11.2017,"358.636,60 €",,,,,,,,,,,,,,,,"0,00 €"
UstVZ,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 LOHN
ST OKT.17 1.511,45EUR UMS.S
T SEP.17 ","14.527,71 €",2017-11,,bei Jochen,15.11.2017,"344.108,89 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung 20171115,"3.531,62 €",2017-11,15.11.2017,bei Jochen,15.11.2017,"340.577,27 €",,,,,,,,,,,,,,,,
ER,K,"BB, Jutta","15.239,44 €",2017-10,7.11.2017,bei Jochen,15.11.2017,"325.337,83 €",,,,,,,,,,,,,,,,"0,00 €"
ER,K,Amazon Bestnr 302-2968359-8054708,"29,95 €",2017-11,19.11.2017,bei Jochen,20.11.2017,"325.307,88 €",,,,,,,,,,,,,,,,
ER,K,"Christine, Jungheinrich","2.856,00 €",2017-11,20.11.2017,bei Jochen,20.11.2017,"322.451,88 €",,,,,,,,,,,,,,,,
GWSteuer,K,"STEUERKASSE HAMBURG
STEUERNR 048/638/01147 GEW.
ST 4VJ.17","5.160,00 €",2017-11,20.11.2017,bei Jochen,20.11.2017,"317.291,88 €",,,,,,,,,,,,,,,,"0,00 €"
AR,K,wlw 2017-11-07-10053,"7.461,30 €",2017-10,7.11.2017,bei Jochen,20.11.2017,"324.753,18 €",,"1.881,00 €","4.389,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","6.270,00 €",,,,,
GV-Vorjahr,AN,Gewinnanteil 2016,"31.568,20 €",2017-11,20.11.2017,bei Jochen,20.11.2017,"293.184,98 €",,,,,,,,,,,,,,,,"0,00 €"
ER,AN,"Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0021450264012641/09
.11.17","57,35 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"293.127,63 €",,,,,,,,,,,,,,,,
ER,K,20171113-KJ-JM-Breuninger-KeynoteManageAgile,"112,20 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"293.015,43 €",,,,,,,,,,,,,,,,
ER,K,20171117-RK-JM-CEWE,"178,52 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"292.836,91 €","95.017,48 €",,,,,,,,,,,,,,,
ER,K,"GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","283,56 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"292.553,35 €",,,,,,,,,,,,,,,,
ER,K,20171107-RK-JM-Breuninger,"347,47 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"292.205,88 €",,,,,,,,,,,,,,,,
ER,K,20171116-RK-JM-Breuninger-ContLifecycle,"378,29 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"291.827,59 €",,,,,,,,,,,,,,,,
ER,K,20171108-RK-JM-AOK-Berlin,"708,78 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"291.118,81 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Johannes B, 2017-11-07-10047","7.539,84 €",2017-10,7.11.2017,bei Jochen,21.11.2017,"298.658,65 €",,"5.702,40 €","0,00 €","0,00 €","0,00 €","316,80 €","0,00 €","0,00 €","0,00 €","316,80 €",,,,,"6.336,00 €",
GV-Vorjahr,RW,Gewinnanteil 2016,"13.723,81 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"284.934,84 €",,,,,,,,,,,,,,,,
AR,RW,"BB, Ralf, 2017-11-07-10051","15.931,13 €",2017-10,7.11.2017,bei Jochen,21.11.2017,"300.865,97 €",,"2.677,50 €","0,00 €","0,00 €","10.040,63 €","0,00 €","0,00 €","0,00 €","669,38 €","0,00 €",,,"13.387,50 €",,,
AR,JM,"BB, Jutta 2017-11-07-10050","18.287,33 €",2017-10,7.11.2017,bei Jochen,21.11.2017,"319.153,30 €",,"13.830,75 €","0,00 €","0,00 €","0,00 €","768,38 €","0,00 €","0,00 €","0,00 €","768,38 €",,,,,"15.367,50 €",
GV-Vorjahr,JM,Gewinnanteil 2016,"121.333,87 €",2017-11,21.11.2017,bei Jochen,21.11.2017,"197.819,43 €",,,,,,,,,,,,,,,,
ER,K,Miete Material AOK Workshop,"260,61 €",2017-11,16.11.2017,bei Jochen,22.11.2017,"197.558,82 €",,,,,,,,,,,,,,,,
ER,K,"Sven, AOK","4.165,00 €",2017-11,15.11.2017,bei Jochen,22.11.2017,"193.393,82 €",,,,,,,,,,,,,,,,
ER,RW,Hetzner,"8,21 €",2017-11,,bei Jochen,23.11.2017,"193.385,61 €",,,,,,,,,,,,,,,,
ER,JM,Congstar,"42,54 €",2017-11,,bei Jochen,23.11.2017,"193.343,07 €",,,,,,,,,,,,,,,,
AR,JM,"Hanseatic Bank, 2017-10-06-10038","35.914,02 €",2017-09,6.10.2017,bei Jochen,23.11.2017,"229.257,09 €",,"8.834,85 €","10.959,38 €","5.591,25 €","0,00 €","3.460,31 €","0,00 €","0,00 €","0,00 €","1.334,06 €","15.656,25 €","7.987,50 €",,"3.037,50 €",,
AR,JM,"BB, Johannes 2017-11-15-10056","11.289,46 €",2017-10,15.11.2017,bei Jochen,24.11.2017,"240.546,55 €",,"1.897,39 €","0,00 €","0,00 €","0,00 €","7.115,21 €","0,00 €","0,00 €","0,00 €","474,35 €",,,,"9.486,94 €",,
ER,JM,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50401316279","17,19 €",2017-11,,bei Jochen,27.11.2017,"240.529,36 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2017-11,"3.869,65 €",2017-11,22.11.2017,bei Jochen,27.11.2017,"236.659,71 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"KKH, Ben","1.385,10 €",2017-11,,bei Jochen,28.11.2017,"235.274,61 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Elena 2017-11-07-10049","15.708,00 €",2017-10,7.11.2017,bei Jochen,28.11.2017,"250.982,61 €",,"11.880,00 €","0,00 €","0,00 €","0,00 €","660,00 €","0,00 €","0,00 €","0,00 €","660,00 €",,,,,"13.200,00 €",
ER,K,"Erstattung RK Vortrag Johann Hartmann, TL Tech","69,00 €",2017-11,29.11.2017,bei Jochen,29.11.2017,"250.913,61 €",,,,,,,,,,,,,,,,
ER,K,"Internet-Euro-Überweisung
Strandperle Betriebs GmbH & Co. KG
BIC:GENODEF1HH2
IBAN:DE63201900030066232503
Datum: 29.11.17 Zeit: 18:50
UFT 0020625948 TAN 253733
Rg. Nr. 115/17","476,00 €",2017-11,,bei Jochen,29.11.2017,"250.437,61 €",,,,,,,,,,,,,,,,
ER,K,"Theater Strohlinka, TL Tech","2.000,00 €",2017-11,,bei Jochen,29.11.2017,"248.437,61 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Sven 2017-10-06-10042","14.421,31 €",2017-09,6.10.2017,bei Jochen,29.11.2017,"262.858,92 €",,"10.906,87 €","0,00 €","0,00 €","0,00 €","605,94 €","0,00 €","0,00 €","0,00 €","605,94 €",,,,,"12.118,75 €",
ER,K,"BB, Erhan","15.246,88 €",2017-10,7.11.2017,bei Jochen,29.11.2017,"247.612,04 €",,,,,,,,,,,,,,,,
AR,K,"BB, Sven 2017-11-07-10046","18.117,75 €",2017-10,7.11.2017,bei Jochen,29.11.2017,"265.729,79 €",,"15.225,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,,,"15.225,00 €",
ER,K,"Kontoführung
Abrechnung vom 30.11.2017","21,37 €",2017-11,,bei Jochen,30.11.2017,"265.708,42 €",,,,,,,,,,,,,,,,
ER,K,"Dauer-Euro-Überweisung
hauptsache.net GmbH
Miete Büro kommitment
Dauerauftrag: 1","824,78 €",2017-11,,bei Jochen,1.12.2017,"264.883,64 €",,,,,,,,,,,,,,,,
ER,K,"Erstattung Reisekosten BW, AOK 16.11.17","109,25 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"264.774,39 €",,,,,,,,,,,,,,,,
ER,K,"Erstattung Reisekosten BW, AOK 29.-30.11.17","127,75 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"264.646,64 €",,,,,,,,,,,,,,,,
ER,K,"Erstattung Reisekosten BW, Prosoz 27-29.11.17","143,00 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"264.503,64 €",,,,,,,,,,,,,,,,
ER,K,"Erstattung Reisekosten BW, AOK 8.-10.11.17","163,60 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"264.340,04 €",,,,,,,,,,,,,,,,
ER,K,Belegabrechnung 20171130 Anke,"202,40 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"264.137,64 €",,,,,,,,,,,,,,,,
ER,K,"Erstattung Reisekosten BW, AOK 21.-23.11.17","273,15 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"263.864,49 €",,,,,,,,,,,,,,,,
ER,K,"Otto, Sponsoring barcamp","2.380,00 €",2017-11,4.12.2017,bei Jochen,4.12.2017,"261.484,49 €",,,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-12,"6.000,00 €",2017-12,,bei Jochen,4.12.2017,"255.484,49 €",,,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-12,"6.000,00 €",2017-12,,bei Jochen,4.12.2017,"249.484,49 €",,,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-12,"8.000,00 €",2017-12,,bei Jochen,4.12.2017,"241.484,49 €",,,,,,,,,,,,,,,,
AR,JM,AOK Workshop 2017-11-15-10057,"14.280,00 €",2017-11,15.11.2017,bei Jochen,4.12.2017,"255.764,49 €",,"5.450,00 €","3.363,50 €","0,00 €","0,00 €","2.624,00 €","0,00 €","0,00 €","0,00 €","562,50 €","4.805,00 €",,,"2.945,00 €","3.500,00 €",
ER,AN,"vcomtec UG (haftungsbeschraenkt)
RgNr 3232 vom 15.11.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-12,,bei Jochen,5.12.2017,"255.759,50 €",,,,,,,,,,,,,,,,
ER,K,"Internet-Euro-Überweisung
Johannes Mainusch
BIC:PBNKDEFFXXX
IBAN:DE23600100700672436704
Datum: 05.12.17 Zeit: 13:54
UFT 0020630886 TAN 765022
20171127-RK-JM-Prosoz","294,60 €",2017-11,,bei Jochen,5.12.2017,"255.464,90 €",,,,,,,,,,,,,,,,
ER,K,mindspace,"3.796,10 €",2017-12,,bei Jochen,5.12.2017,"251.668,80 €",,,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2017-12,4.12.2017,bei Jochen,6.12.2017,"251.648,80 €",,,,,,,,,,,,,,,,
ER,K,"BB, Susanne","8.996,40 €",2017-10,6.12.2017,bei Jochen,6.12.2017,"242.652,40 €",,,,,,,,,,,,,,,,
ER,K,20171205-RK-JM-CEWE,"156,01 €",2017-12,,bei Jochen,7.12.2017,"242.496,39 €",,,,,,,,,,,,,,,,
ER,K,20171130-RK-JM-CEWE,"194,72 €",2017-12,,bei Jochen,7.12.2017,"242.301,67 €",,,,,,,,,,,,,,,,
ER,RW,Drillisch,"16,99 €",2017-12,,bei Jochen,8.12.2017,"242.284,68 €",,,,,,,,,,,,,,,,
ER,K,"Esskultur, Catering Tomorrow Ländle","1.249,26 €",2017-11,1.12.2017,bei Jochen,8.12.2017,"241.035,42 €",,,,,,,,,,,,,,,,
ER,K,"BB, Elena","18.278,40 €",2017-11,1.12.2017,bei Jochen,11.12.2017,"222.757,02 €",,,,,,,,,,,,,,,,
ER,K,"Thiemer + Ralf, 10745-19","60,16 €",2017-12,12.12.2017,bei Jochen,12.12.2017,"222.696,86 €",,,,,,,,,,,,,,,,
ER,K,"Jan Pospisil, UX für HBSL","1.285,20 €",2017-12,4.12.2017,bei Jochen,12.12.2017,"221.411,66 €",,,,,,,,,,,,,,,,
ER,K,"BB, Sven","13.577,90 €",2017-11,30.11.2017,bei Jochen,12.12.2017,"207.833,76 €",,,,,,,,,,,,,,,,
ER,K,IBAN:DE34600202900018774780 Datum: 13.12.17 Zeit: 00:09 UFT 20625948 TAN 393574 Anlagedatum : 01.12.17 Uhrzeit: 15:57 Ausführungstermin: 13.12.17 Rechnung Nr. 27358,"1.249,26 €",2017-12,13.12.2017,bei Jochen,13.12.2017,"206.584,50 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Website Support","1.487,50 €",2017-12,4.12.2017,bei Jochen,14.12.2017,"205.097,00 €",,,,,,,,,,,,,,,,
LNSteuer,BW,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 LOHN
ST NOV.17 1.511,45EUR","1.511,45 €",2017-11,,bei Jochen,14.12.2017,"203.585,55 €",,,,,,,,,,,,,,,,"0,00 €"
AR,JM,"BB, Johannes 2017-12-04-10065","2.052,75 €",2017-11,4.12.2017,bei Jochen,14.12.2017,"205.638,30 €",,"345,00 €","0,00 €","0,00 €","0,00 €","1.293,75 €","0,00 €","0,00 €","0,00 €","86,25 €",,,,"1.725,00 €",,
ER,K,"BB, Johannes B.","11.309,76 €",2017-11,4.12.2017,bei Jochen,14.12.2017,"194.328,54 €",,,,,,,,,,,,,,,,
AR,RW,"BB, Ralf 2017-12-01-10060","13.328,00 €",2017-11,1.12.2017,bei Jochen,14.12.2017,"207.656,54 €",,"2.240,00 €","0,00 €","0,00 €","8.400,00 €","0,00 €","0,00 €","0,00 €","560,00 €","0,00 €",,,"11.200,00 €",,,
AR,K,wlw 2017-12-01-10061,"8.318,10 €",2017-11,1.12.2017,bei Jochen,15.12.2017,"215.974,64 €",,"2.097,00 €","4.893,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","6.990,00 €",,,,,
ER,UstVZ,"STEUERKASSE HAMBURG
STEUERNR 046/638/02084 UMS.
ST OKT.17 12.911,35EUR","12.911,35 €",2017-10,,bei Jochen,15.12.2017,"203.063,29 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Johannes B. 2017-12-04-10063","14.137,20 €",2017-11,4.12.2017,bei Jochen,15.12.2017,"217.200,49 €",,"10.929,60 €","0,00 €","0,00 €","0,00 €","475,20 €","0,00 €","0,00 €","0,00 €","475,20 €",,,,,"9.504,00 €",
AR,K,"BB, Sven 2017-11-30-10058","16.972,38 €",2017-11,30.11.2017,bei Jochen,15.12.2017,"234.172,87 €",,"14.262,50 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,,,"11.410,00 €",
GV,K,Rückzahlung Hafteinlage 2016 AN,"500,00 €",2017-12,16.12.2017,bei Jochen,18.12.2017,"233.672,87 €",,,,,,,,,,,,,,,,
GV,K,Rückzahlung Hafteinlage 2016 JM,"500,00 €",2017-12,16.12.2017,bei Jochen,18.12.2017,"233.172,87 €",,,,,,,,,,,,,,,,
GV,K,Rückzahlung Hafteinlage 2016 RW,"500,00 €",2017-12,16.12.2017,bei Jochen,18.12.2017,"232.672,87 €",,,,,,,,,,,,,,,,
ER,AN,Telekom,"61,14 €",2017-12,8.12.2017,bei Jochen,18.12.2017,"232.611,73 €",,,,,,,,,,,,,,,,
AR,JM,Prosoz 2017-12-05-10067,"14.092,49 €",2017-11,5.12.2017,bei Jochen,18.12.2017,"246.704,22 €",,"2.682,43 €","3.850,00 €","0,00 €","0,00 €","4.737,50 €","0,00 €","0,00 €","0,00 €","572,50 €","5.500,00 €",,,"5.950,00 €",,
ER,K,"Jungheinrich, Christine","20.036,20 €",2017-11,15.12.2017,bei Jochen,18.12.2017,"226.668,02 €",,,,,,,,,,,,,,,,
ER,K,"grenius Rechtsanwälte, KG-Vertrag","2.403,80 €",2017-12,19.12.2017,bei Jochen,19.12.2017,"224.264,22 €",,,,,,,,,,,,,,,,
AR,K,"Überweisungs-Gutschrift (erster Teil)
XING SE
Auszahlung 2017-12-14530021
24 Leading Agile Adoptions
with the Agile Fluency Ga","4.375,02 €",2017-12,,bei Jochen,19.12.2017,"228.639,24 €",,,,,,,,,,,,,,,,
AR,JM,Breuninger 2017-11-07-10054,"9.843,55 €",2017-10,7.11.2017,bei Jochen,19.12.2017,"238.482,79 €",,"2.311,89 €","0,00 €","1.750,00 €","0,00 €","3.837,50 €","0,00 €","0,00 €","0,00 €","372,50 €",,"2.500,00 €",,"4.950,00 €",,
AR,JM,"BB, Elena 2017-12-01-10059","22.848,00 €",2017-11,1.12.2017,bei Jochen,19.12.2017,"261.330,79 €",,"17.664,00 €","0,00 €","0,00 €","0,00 €","768,00 €","0,00 €","0,00 €","0,00 €","768,00 €",,,,,"15.360,00 €",
ER,K,"Esskultur, Catering Gutschrift","-1.249,26 €",2017-12,19.12.2017,bei Jochen,19.12.2017,"262.580,05 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Erhan 2017-12-08-10072","1.517,25 €",2017-12,8.12.2017,bei Jochen,20.12.2017,"264.097,30 €",,"1.168,75 €","0,00 €","0,00 €","0,00 €","53,13 €","0,00 €","0,00 €","0,00 €","53,13 €",,,,,"1.062,50 €",
AR,JM,Moderation IT-Tage 2017-12-13-10074,"1.785,00 €",2017-12,13.12.2017,bei Jochen,20.12.2017,"265.882,30 €",,"300,00 €","0,00 €","0,00 €","0,00 €","1.125,00 €","0,00 €","0,00 €","0,00 €","75,00 €",,,,"1.500,00 €",,
ER,K,"MacBook, iPhone, Apple Cares Ben","3.433,90 €",2017-12,20.12.2017,bei Jochen,20.12.2017,"262.448,40 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Susannne 2017-12-06-10068","11.245,50 €",2017-10,6.12.2017,bei Jochen,20.12.2017,"273.693,90 €",,"8.694,00 €","0,00 €","0,00 €","0,00 €","378,00 €","0,00 €","0,00 €","0,00 €","378,00 €",,,,,"7.560,00 €",
AR,JM,BB. Erhan 2017-11-07-10048,"18.296,25 €",2017-10,7.11.2017,bei Jochen,20.12.2017,"291.990,15 €",,"13.837,50 €","0,00 €","0,00 €","0,00 €","768,75 €","0,00 €","0,00 €","0,00 €","768,75 €",,,,,"15.375,00 €",
AR,JM,"BB, Jutta Rechnung 2017-12-13-10075","18.340,88 €",2017-12,13.12.2017,bei Jochen,20.12.2017,"310.331,03 €",,"14.128,13 €","0,00 €","0,00 €","0,00 €","642,19 €","0,00 €","0,00 €","0,00 €","642,19 €",,,,,"12.843,75 €",
AR,JM,"BB, Erhan 2017-12-06-10069","18.430,13 €",2017-11,6.12.2017,bei Jochen,20.12.2017,"328.761,16 €",,"14.042,00 €","0,00 €","0,00 €","0,00 €","722,75 €","0,00 €","0,00 €","0,00 €","722,75 €",,,,,"14.455,00 €",
ER,AN,Differenz BA 2017-10,"13,21 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"328.747,95 €",,,,,,,,,,,,,,,,
ER,AN,Differenz BA 2017-11,"23,20 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"328.724,75 €",,,,,,,,,,,,,,,,
ER,K,20171123-Wien,"134,70 €",2017-12,,bei Jochen,21.12.2017,"328.590,05 €",,,,,,,,,,,,,,,,
ER,K,20171218-JM-Prosoz,"254,11 €",2017-12,,bei Jochen,21.12.2017,"328.335,94 €",,,,,,,,,,,,,,,,
ER,K,"Akra, USt vergessen","292,98 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"328.042,96 €",,,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","454,65 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"327.588,31 €",,,,,,,,,,,,,,,,
ER,K,20171212-AOK-Berlin,"508,80 €",2017-12,,bei Jochen,21.12.2017,"327.079,51 €",,,,,,,,,,,,,,,,
ER,K,"Akra, Vertriebsanteil wlw","1.542,00 €",2017-12,12.12.2017,bei Jochen,21.12.2017,"325.537,51 €",,,,,,,,,,,,,,,,
ER,K,"Thiemer + Ralf, 10745-20","1.719,55 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"323.817,96 €",,,,,,,,,,,,,,,,
ER,K,Belege-20171107-kommitment,"2.024,94 €",2017-12,,bei Jochen,21.12.2017,"321.793,02 €",,,,,,,,,,,,,,,,
ER,K,"Miete & Catering places, Workshop Diana","2.247,51 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"319.545,51 €",,,,,,,,,,,,,,,,
Gehalt,BW,Gehalt Ben 2017-12,"3.869,65 €",2017-12,12.12.2017,bei Jochen,21.12.2017,"315.675,86 €",,,,,,,,,,,,,,,,
ER,K,"Jungheinrich, Christine","4.284,00 €",2017-12,21.12.2017,bei Jochen,21.12.2017,"311.391,86 €",,,,,,,,,,,,,,,,
ER,RW,"SEPA-Basislastschrift
Hetzner Online GmbH
Rechnungsnr.: R0007614927 -
Kundennr.: K0720512117","8,21 €",2017-12,,bei Jochen,22.12.2017,"311.383,65 €",,,,,,,,,,,,,,,,
ER,K,"BB, Erhan","1.264,38 €",2017-12,8.12.2017,bei Jochen,22.12.2017,"310.119,27 €",,,,,,,,,,,,,,,,
IS,JM,"97,75","4.887,50 €",2017-12,,bei Jochen,22.12.2017,"310.119,27 €",,,,,,,,,,,,,,,,
IS,AN,5k für erste Jahreshälte 2017,"5.000,00 €",2017-06,,bei Jochen,22.12.2017,"310.119,27 €",,,,,,,,,,,,,,,,
ER,K,"BB, Johannes B.","5.277,89 €",2017-12,20.12.2017,bei Jochen,22.12.2017,"304.841,38 €",,,,,,,,,,,,,,,,
IS,RW,118,"5.900,00 €",2017-12,,bei Jochen,22.12.2017,"304.841,38 €",,,,,,,,,,,,,,,,
ER,K,"BB, Sven","6.164,20 €",2017-12,20.12.2017,bei Jochen,22.12.2017,"298.677,18 €",,,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank  2017-11-07-10052,"6.454,56 €",2017-10,7.11.2017,bei Jochen,22.12.2017,"305.131,74 €",,"2.544,00 €","0,00 €","1.653,75 €","0,00 €","1.046,25 €","0,00 €","0,00 €","0,00 €","180,00 €",,"2.362,50 €",,"1.237,50 €",,
AR,JM,"BB, Johannes B. 2017-12-20-10078","6.597,36 €",2017-12,20.12.2017,bei Jochen,22.12.2017,"311.729,10 €",,"4.989,60 €","0,00 €","0,00 €","0,00 €","277,20 €","0,00 €","0,00 €","0,00 €","277,20 €",,,,,"5.544,00 €",
AR,K,"BB, Sven 2017-12-20-10077","7.705,25 €",2017-12,20.12.2017,bei Jochen,22.12.2017,"319.434,35 €",,"6.475,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,,,"5.180,00 €",
IS,AN,165,"8.250,00 €",2017-12,,bei Jochen,22.12.2017,"319.434,35 €",,,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank 2017-12-04-10062 ,"24.427,73 €",2017-11,4.12.2017,bei Jochen,22.12.2017,"343.862,08 €","
","7.369,50 €","0,00 €","8.426,25 €","0,00 €","3.862,13 €","0,00 €","0,00 €","0,00 €","869,63 €",,"12.037,50 €",,"4.275,00 €","1.080,00 €",
ER,RW,Belelegabrechnung Ralf 12-2017,"348,16 €",2017-12,23.12.2017,bei Jochen,27.12.2017,"343.513,92 €",,,,,,,,,,,,,,,,
ER,K,Reisekosten AOK/Ben Dezember,"619,12 €",2017-12,23.12.2017,bei Jochen,27.12.2017,"342.894,80 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7218777058 vom 19.12.17","48,64 €",2017-12,,bei Jochen,27.12.2017,"342.846,16 €",,,,,,,,,,,,,,,,
SV-Beitrag,BW,"SEPA-Basislastschrift
KKH HAUPTVERW., HANNOVER
BEITRAG 12/17 FUER 93525026
KOMMISTMENT GMBH + CO. KG
SOZIALVERSICHERUNGSBEITRAG
KKH 1.385,10 EU
R Mandat 0508200382-0202-2","1.385,10 €",2017-12,,bei Jochen,27.12.2017,"341.461,06 €",,,,,,,,,,,,,,,,
ER,K,"BB, Erhan","15.358,44 €",2017-11,6.12.2017,bei Jochen,27.12.2017,"326.102,62 €",,,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
1u1 Telecom GmbH
KD-Nr. K534249484/ RG-Nr. 1
50401804281","17,19 €",2017-12,,bei Jochen,28.12.2017,"326.085,43 €",,,,,,,,,,,,,,,,
AR,AN,"Verinion, innogy 2017-12-05-10066","7.973,00 €",2017-12,5.12.2017,bei Jochen,28.12.2017,"334.058,43 €",,"1.340,00 €","0,00 €","5.025,00 €","0,00 €","0,00 €","0,00 €","335,00 €","0,00 €","0,00 €",,"6.700,00 €",,,,
ER,K,"BB, Susanne","9.412,90 €",2017-12,20.12.2017,bei Jochen,28.12.2017,"324.645,53 €",,,,,,,,,,,,,,,,
AR,JM,"BB, Susanne 2017-12-20-10082","11.766,13 €",2017-12,20.12.2017,bei Jochen,28.12.2017,"336.411,66 €",,"9.096,50 €","0,00 €","0,00 €","0,00 €","395,50 €","0,00 €","0,00 €","0,00 €","395,50 €",,,,,"7.910,00 €",
ER,K,"BB, Elena","13.708,80 €",2017-12,21.12.2017,bei Jochen,28.12.2017,"322.702,86 €",,,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank 2017-12-20-10080,"8.213,98 €",2017-12,20.12.2017,bei Jochen,29.12.2017,"330.916,84 €",,"3.613,50 €","0,00 €","2.126,25 €","0,00 €","817,63 €","0,00 €","0,00 €","0,00 €","345,13 €",,"3.037,50 €",,"675,00 €","3.190,00 €",
ER,K,"
30.12.2017        Zinsen/Kontoführung
Abrechnung vom 29.12.2017","28,18 €",2017-12,,bei Jochen,30.12.2017,"330.888,66 €",,,,,,,,,,,,,,,,
ER,K,"hauptsache.net, Domains","64,26 €",2018-01,2.1.2018,bei Jochen,2.1.2018,"330.824,40 €",,,,,,,,,,,,,,,,
AR,K,"Überweisungs-Gutschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","139,49 €",2018-01,,bei Jochen,2.1.2018,"330.963,89 €",,,,,,,,,,,,,,,,
ER,AN,Belegabrechnung AN 2017-12,"473,85 €",2018-01,2.1.2018,bei Jochen,2.1.2018,"330.490,04 €",,,,,,,,,,,,,,,,
ER,K,"Jutta, Anteil Workshop Diana","742,00 €",2017-12,2.1.2018,bei Jochen,2.1.2018,"329.748,04 €",,,,,,,,,,,,,,,,
GV,JM,Entnahme 2018-01,"6.000,00 €",2018-01,,bei Jochen,2.1.2018,"323.748,04 €",,,,,,,,,,,,,,,,
GV,AN,Entnahme 2018-01,"6.000,00 €",2018-01,,bei Jochen,2.1.2018,"317.748,04 €",,,,,,,,,,,,,,,,
